"Gen"	"variable"	"V3"	"1_1"	"1_2"	"1_3"	"1_4"	"1_5"	"1_6"	"3_1"	"3_2"	"3_3"	"3_4"	"3_5"	"3_6"
"4"	"resid_ci"	"5"	"0.106; 0.234"	"0.397; 0.565"	"-0.252; -0.121"	"0.068; 0.207"	"0.595; 0.757"	""	"0.120; 0.233"	"0.364; 0.529"	"-0.257; -0.120"	"0.111; 0.272"	"0.577; 0.736"	""
"4"	"resid"	"6"	"-0.103"	"-0.120"	"-0.191"	"-0.063"	"-0.143"	"0.654"	"-0.113"	"-0.139"	"-0.195"	"-0.171"	"-0.083"	"0.654"
"4"	"resid_ci"	"6"	"-0.162; -0.041"	"-0.190; -0.051"	"-0.258; -0.127"	"-0.128; 0.005"	"-0.211; -0.075"	"0.577; 0.732"	"-0.168; -0.059"	"-0.208; -0.069"	"-0.265; -0.126"	"-0.250; -0.089"	"-0.150; -0.017"	"0.577; 0.732"
"5"	"resid"	"1"	"0.587"	""	""	""	""	""	"0.471"	""	""	""	""	""
"5"	"resid_ci"	"1"	"0.506; 0.668"	""	""	""	""	""	"0.411; 0.530"	""	""	""	""	""
"5"	"resid"	"2"	"0.164"	"0.978"	""	""	""	""	"0.103"	"0.822"	""	""	""	""
"5"	"resid_ci"	"2"	"0.072; 0.252"	"0.852; 1.101"	""	""	""	""	"0.036; 0.172"	"0.722; 0.927"	""	""	""	""
"5"	"resid"	"3"	"0.087"	"-0.023"	"0.781"	""	""	""	"0.033"	"0.116"	"0.753"	""	""	""
"5"	"resid_ci"	"3"	"0.009; 0.166"	"-0.124; 0.078"	"0.673; 0.887"	""	""	""	"-0.031; 0.097"	"0.030; 0.201"	"0.656; 0.848"	""	""	""
"5"	"resid"	"4"	"0.023"	"-0.068"	"0.071"	"0.892"	""	""	"0.136"	"0.024"	"-0.072"	"1.071"	""	""
"5"	"resid_ci"	"4"	"-0.060; 0.106"	"-0.177; 0.041"	"-0.026; 0.169"	"0.769; 1.018"	""	""	"0.059; 0.211"	"-0.074; 0.121"	"-0.168; 0.022"	"0.939; 1.200"	""	""
"5"	"resid"	"5"	"0.096"	"0.690"	"-0.253"	"0.078"	"0.978"	""	"0.108"	"0.519"	"-0.214"	"0.212"	"0.830"	""
"5"	"resid_ci"	"5"	"0.007; 0.183"	"0.559; 0.820"	"-0.356; -0.149"	"-0.030; 0.186"	"0.850; 1.102"	""	"0.041; 0.176"	"0.420; 0.619"	"-0.300; -0.128"	"0.110; 0.312"	"0.728; 0.931"	""
"5"	"resid"	"6"	"-0.118"	"-0.174"	"-0.170"	"-0.168"	"-0.184"	"0.659"	"-0.059"	"-0.190"	"-0.268"	"-0.212"	"-0.134"	"0.659"
"5"	"resid_ci"	"6"	"-0.192; -0.046"	"-0.268; -0.082"	"-0.254; -0.085"	"-0.258; -0.077"	"-0.279; -0.090"	"0.569; 0.749"	"-0.120; 0.000"	"-0.271; -0.109"	"-0.348; -0.184"	"-0.302; -0.117"	"-0.213; -0.054"	"0.573; 0.741"
"6"	"resid"	"1"	"0.353"	""	""	""	""	""	"0.436"	""	""	""	""	""
"6"	"resid_ci"	"1"	"0.311; 0.394"	""	""	""	""	""	"0.377; 0.495"	""	""	""	""	""
"6"	"resid"	"2"	"0.100"	"0.725"	""	""	""	""	"0.095"	"0.683"	""	""	""	""
"6"	"resid_ci"	"2"	"0.049; 0.152"	"0.637; 0.810"	""	""	""	""	"0.031; 0.158"	"0.597; 0.768"	""	""	""	""
"6"	"resid"	"3"	"-0.008"	"0.006"	"0.828"	""	""	""	"0.014"	"0.021"	"0.760"	""	""	""
"6"	"resid_ci"	"3"	"-0.060; 0.047"	"-0.072; 0.082"	"0.732; 0.925"	""	""	""	"-0.051; 0.079"	"-0.058; 0.102"	"0.658; 0.863"	""	""	""
"6"	"resid"	"4"	"0.009"	"-0.018"	"-0.070"	"0.725"	""	""	"0.072"	"0.083"	"-0.169"	"0.679"	""	""
"6"	"resid_ci"	"4"	"-0.042; 0.059"	"-0.090; 0.055"	"-0.148; 0.006"	"0.639; 0.811"	""	""	"0.011; 0.133"	"0.009; 0.159"	"-0.252; -0.087"	"0.590; 0.769"	""	""
"6"	"resid"	"5"	"0.095"	"0.480"	"-0.264"	"0.085"	"0.737"	""	"0.109"	"0.412"	"-0.164"	"0.151"	"0.672"	""
"6"	"resid_ci"	"5"	"0.044; 0.146"	"0.391; 0.567"	"-0.345; -0.183"	"0.013; 0.158"	"0.648; 0.825"	""	"0.046; 0.172"	"0.327; 0.497"	"-0.245; -0.084"	"0.074; 0.229"	"0.587; 0.757"	""
"6"	"resid"	"6"	"-0.082"	"-0.156"	"-0.284"	"-0.146"	"-0.137"	"0.794"	"-0.062"	"-0.189"	"-0.207"	"-0.042"	"-0.095"	"0.743"
"6"	"resid_ci"	"6"	"-0.136; -0.031"	"-0.232; -0.077"	"-0.370; -0.198"	"-0.222; -0.068"	"-0.215; -0.060"	"0.701; 0.888"	"-0.127; 0.002"	"-0.270; -0.108"	"-0.295; -0.118"	"-0.121; 0.037"	"-0.175; -0.014"	"0.645; 0.843"
