RandRep,Animal,Gen,Treatment,Treat,Line,Vial,Ind,MD,multiout,Index,Trait,Score
1,3587,1,S,1,3,1,1,5.52546239459003,0,CS,1,1190.24105868423
1,3587,1,S,1,3,1,1,5.52546239459003,0,ILD2.5,5,0.510024951372484
1,3588,1,S,1,3,1,2,3.20325733817214,0,CS,1,1204.50321709823
1,3588,1,S,1,3,1,2,3.20325733817214,0,ILD2.5,5,0.51047625786523
1,3589,1,S,1,3,1,3,0.838877810794227,0,CS,1,1209.49346606107
1,3589,1,S,1,3,1,3,0.838877810794227,0,ILD2.5,5,0.510388759809926
1,3590,1,S,1,3,1,4,3.23169540236537,0,CS,1,1206.12750385502
1,3590,1,S,1,3,1,4,3.23169540236537,0,ILD2.5,5,0.51418422649866
1,3591,1,S,1,3,1,5,5.13261429302435,0,CS,1,1178.69513540279
1,3591,1,S,1,3,1,5,5.13261429302435,0,ILD2.5,5,0.500696184194591
1,3592,1,S,1,3,1,6,2.9126463849107,0,CS,1,1182.06843193521
1,3592,1,S,1,3,1,6,2.9126463849107,0,ILD2.5,5,0.508072177992984
1,3593,1,S,1,3,2,1,5.41900667521403,0,CS,1,1174.19163682935
1,3593,1,S,1,3,2,1,5.41900667521403,0,ILD2.5,5,0.506741858017048
1,3594,1,S,1,3,2,2,6.08564486875886,0,CS,1,1211.24582329287
1,3594,1,S,1,3,2,2,6.08564486875886,0,ILD2.5,5,0.508113385844766
1,3595,1,S,1,3,2,3,2.31206557392968,0,CS,1,1185.15606098475
1,3595,1,S,1,3,2,3,2.31206557392968,0,ILD2.5,5,0.505989469096026
1,3596,1,S,1,3,2,4,3.02950939337687,0,CS,1,1179.31505544532
1,3596,1,S,1,3,2,4,3.02950939337687,0,ILD2.5,5,0.50372797439031
1,3597,1,S,1,3,2,5,4.70155926334644,0,CS,1,1208.42128415548
1,3597,1,S,1,3,2,5,4.70155926334644,0,ILD2.5,5,0.509039404101237
1,3598,1,S,1,3,2,6,8.98108960537862,0,CS,1,1152.69356051139
1,3598,1,S,1,3,2,6,8.98108960537862,0,ILD2.5,5,0.513348676388306
1,1421,1,S,1,4,1,1,2.45877221455603,0,CS,1,1207.12008055905
1,1421,1,S,1,4,1,1,2.45877221455603,0,ILD2.5,5,0.510611515586069
1,1422,1,S,1,4,1,2,8.32557246762575,0,CS,1,1214.62751491969
1,1422,1,S,1,4,1,2,8.32557246762575,0,ILD2.5,5,0.520316057304629
1,1423,1,S,1,4,1,3,29.0084269921534,1,CS,1,1157.21600787791
1,1423,1,S,1,4,1,3,29.0084269921534,1,ILD2.5,5,0.470775979661496
1,1424,1,S,1,4,1,4,5.54922040517719,0,CS,1,1197.53181354168
1,1424,1,S,1,4,1,4,5.54922040517719,0,ILD2.5,5,0.493085560398922
1,1425,1,S,1,4,1,5,5.53965929605299,0,CS,1,1164.06767653584
1,1425,1,S,1,4,1,5,5.53965929605299,0,ILD2.5,5,0.508816788986719
1,1426,1,S,1,4,1,6,1.76498324991772,0,CS,1,1191.29276185346
1,1426,1,S,1,4,1,6,1.76498324991772,0,ILD2.5,5,0.507873978526207
1,343,1,S,1,5,1,1,5.18688352840625,0,CS,1,1205.18223610465
1,343,1,S,1,5,1,1,5.18688352840625,0,ILD2.5,5,0.507309768552038
1,344,1,S,1,5,1,2,3.384455500812,0,CS,1,1222.92536339894
1,344,1,S,1,5,1,2,3.384455500812,0,ILD2.5,5,0.515384589794861
1,345,1,S,1,5,1,3,1.40187086987101,0,CS,1,1215.90030658584
1,345,1,S,1,5,1,3,1.40187086987101,0,ILD2.5,5,0.506374576104372
1,346,1,S,1,5,1,4,5.82987862310519,0,CS,1,1203.49703410981
1,346,1,S,1,5,1,4,5.82987862310519,0,ILD2.5,5,0.510438193158735
1,347,1,S,1,5,1,5,7.51444914937228,0,CS,1,1230.47533723986
1,347,1,S,1,5,1,5,7.51444914937228,0,ILD2.5,5,0.508479975704999
1,348,1,S,1,5,1,6,5.5245627782999,0,CS,1,1235.14065775702
1,348,1,S,1,5,1,6,5.5245627782999,0,ILD2.5,5,0.514198857720325
1,349,1,S,1,5,2,1,3.8377110742369,0,CS,1,1221.56793598318
1,349,1,S,1,5,2,1,3.8377110742369,0,ILD2.5,5,0.506622653070308
1,350,1,S,1,5,2,2,5.74853545868008,0,CS,1,1198.50425299389
1,350,1,S,1,5,2,2,5.74853545868008,0,ILD2.5,5,0.496516395001176
1,351,1,S,1,5,2,3,6.54491732779396,0,CS,1,1179.28556526587
1,351,1,S,1,5,2,3,6.54491732779396,0,ILD2.5,5,0.49554508298308
1,352,1,S,1,5,2,4,15.0757361345323,0,CS,1,1134.57206812867
1,352,1,S,1,5,2,4,15.0757361345323,0,ILD2.5,5,0.516050284070512
1,353,1,S,1,5,2,5,19.6803963238796,0,CS,1,1157.11000149318
1,353,1,S,1,5,2,5,19.6803963238796,0,ILD2.5,5,0.511081640400577
1,354,1,S,1,5,2,6,4.01022385703338,0,CS,1,1212.78027688448
1,354,1,S,1,5,2,6,4.01022385703338,0,ILD2.5,5,0.495627207513293
1,2508,1,S,1,6,1,1,5.52068725200736,0,CS,1,1204.50616898009
1,2508,1,S,1,6,1,1,5.52068725200736,0,ILD2.5,5,0.514674903730714
1,2509,1,S,1,6,1,3,6.53725475805638,0,CS,1,1185.06530527974
1,2509,1,S,1,6,1,3,6.53725475805638,0,ILD2.5,5,0.516458031769437
1,2510,1,S,1,6,1,4,4.8503573514487,0,CS,1,1183.12317382614
1,2510,1,S,1,6,1,4,4.8503573514487,0,ILD2.5,5,0.494692552488383
1,2511,1,S,1,6,1,5,9.16520300464453,0,CS,1,1199.10142282553
1,2511,1,S,1,6,1,5,9.16520300464453,0,ILD2.5,5,0.495610302662092
1,2512,1,S,1,6,1,6,2.43422847585844,0,CS,1,1173.75295526784
1,2512,1,S,1,6,1,6,2.43422847585844,0,ILD2.5,5,0.505240816232393
1,2513,1,S,1,6,2,1,4.2191752608897,0,CS,1,1225.55465901045
1,2513,1,S,1,6,2,1,4.2191752608897,0,ILD2.5,5,0.513171555497455
1,2514,1,S,1,6,2,2,8.17161281832853,0,CS,1,1146.11963695864
1,2514,1,S,1,6,2,2,8.17161281832853,0,ILD2.5,5,0.513641395417906
1,2515,1,S,1,6,2,3,11.5236585391229,0,CS,1,1204.5656663065
1,2515,1,S,1,6,2,3,11.5236585391229,0,ILD2.5,5,0.519187476599205
1,2516,1,S,1,6,2,4,6.91307193748523,0,CS,1,1235.45655078958
1,2516,1,S,1,6,2,4,6.91307193748523,0,ILD2.5,5,0.502174263161481
1,2517,1,S,1,6,2,5,5.4403859248968,0,CS,1,1196.25517530518
1,2517,1,S,1,6,2,5,5.4403859248968,0,ILD2.5,5,0.507905967481743
1,2518,1,S,1,6,2,6,10.4779184468894,0,CS,1,1191.90454502214
1,2518,1,S,1,6,2,6,10.4779184468894,0,ILD2.5,5,0.489882930583282
1,1342,1,S,1,7,1,1,6.37084953971392,0,CS,1,1213.16454869989
1,1342,1,S,1,7,1,1,6.37084953971392,0,ILD2.5,5,0.500851732421756
1,1343,1,S,1,7,1,2,2.49329788515148,0,CS,1,1192.80193009755
1,1343,1,S,1,7,1,2,2.49329788515148,0,ILD2.5,5,0.505244084668107
1,1344,1,S,1,7,1,3,2.41477027555762,0,CS,1,1182.41485481572
1,1344,1,S,1,7,1,3,2.41477027555762,0,ILD2.5,5,0.513347163771632
1,1345,1,S,1,7,1,4,4.34655314827547,0,CS,1,1184.26948885049
1,1345,1,S,1,7,1,4,4.34655314827547,0,ILD2.5,5,0.50972430452764
1,1346,1,S,1,7,1,5,5.3172270542692,0,CS,1,1180.1623240517
1,1346,1,S,1,7,1,5,5.3172270542692,0,ILD2.5,5,0.513954167077691
1,1347,1,S,1,7,1,6,7.06049142458814,0,CS,1,1168.44749798848
1,1347,1,S,1,7,1,6,7.06049142458814,0,ILD2.5,5,0.500332553895029
1,1348,1,S,1,7,2,1,5.76457870991857,0,CS,1,1208.76180908858
1,1348,1,S,1,7,2,1,5.76457870991857,0,ILD2.5,5,0.515474033541066
1,1349,1,S,1,7,2,2,3.56629955825157,0,CS,1,1203.43905352766
1,1349,1,S,1,7,2,2,3.56629955825157,0,ILD2.5,5,0.502303205032863
1,1350,1,S,1,7,2,3,3.52447366407219,0,CS,1,1199.60928824532
1,1350,1,S,1,7,2,3,3.52447366407219,0,ILD2.5,5,0.51231953537437
1,1351,1,S,1,7,2,5,2.75164362214283,0,CS,1,1165.73019558081
1,1351,1,S,1,7,2,5,2.75164362214283,0,ILD2.5,5,0.50378036459532
1,1352,1,S,1,7,2,6,2.22489128457351,0,CS,1,1178.71898451006
1,1352,1,S,1,7,2,6,2.22489128457351,0,ILD2.5,5,0.505998060891982
1,2251,1,S,1,8,1,1,6.87297730561465,0,CS,1,1218.95182659346
1,2251,1,S,1,8,1,1,6.87297730561465,0,ILD2.5,5,0.500521989533654
1,2252,1,S,1,8,1,2,8.46261547493269,0,CS,1,1208.52104289131
1,2252,1,S,1,8,1,2,8.46261547493269,0,ILD2.5,5,0.515490913706757
1,2253,1,S,1,8,1,3,5.46528516440709,0,CS,1,1201.52699142013
1,2253,1,S,1,8,1,3,5.46528516440709,0,ILD2.5,5,0.508021452653886
1,2254,1,S,1,8,1,4,8.38018520086755,0,CS,1,1253.46781193437
1,2254,1,S,1,8,1,4,8.38018520086755,0,ILD2.5,5,0.505320662908476
1,2255,1,S,1,8,1,5,3.3081375045294,0,CS,1,1232.06817993161
1,2255,1,S,1,8,1,5,3.3081375045294,0,ILD2.5,5,0.507844238409726
1,2256,1,S,1,8,1,6,1.12463493737129,0,CS,1,1211.26866457354
1,2256,1,S,1,8,1,6,1.12463493737129,0,ILD2.5,5,0.50774658478969
1,2257,1,S,1,8,2,1,7.86029884319858,0,CS,1,1200.53580630576
1,2257,1,S,1,8,2,1,7.86029884319858,0,ILD2.5,5,0.498742664651812
1,2258,1,S,1,8,2,2,5.31565175530209,0,CS,1,1206.61841524153
1,2258,1,S,1,8,2,2,5.31565175530209,0,ILD2.5,5,0.510999140128055
1,2259,1,S,1,8,2,3,0.863635721929199,0,CS,1,1221.26828429392
1,2259,1,S,1,8,2,3,0.863635721929199,0,ILD2.5,5,0.507360253403704
1,2260,1,S,1,8,2,4,1.17097258272139,0,CS,1,1197.11588597113
1,2260,1,S,1,8,2,4,1.17097258272139,0,ILD2.5,5,0.502102291842442
1,2261,1,S,1,8,2,5,9.08537693743236,0,CS,1,1192.93419768233
1,2261,1,S,1,8,2,5,9.08537693743236,0,ILD2.5,5,0.509660704299887
1,2262,1,S,1,8,2,6,5.65465458155717,0,CS,1,1222.78825276951
1,2262,1,S,1,8,2,6,5.65465458155717,0,ILD2.5,5,0.506991947445903
1,91,1,S,1,9,1,1,18.344679476492,0,CS,1,1125.51311755029
1,91,1,S,1,9,1,1,18.344679476492,0,ILD2.5,5,0.514038855024618
1,92,1,S,1,9,1,2,2.98354686571493,0,CS,1,1164.24415156119
1,92,1,S,1,9,1,2,2.98354686571493,0,ILD2.5,5,0.502716881415357
1,93,1,S,1,9,1,3,4.41465539997044,0,CS,1,1163.71178180471
1,93,1,S,1,9,1,3,4.41465539997044,0,ILD2.5,5,0.505718413715047
1,94,1,S,1,9,1,5,5.18103673583167,0,CS,1,1181.40265033654
1,94,1,S,1,9,1,5,5.18103673583167,0,ILD2.5,5,0.51811051020806
1,95,1,S,1,9,1,6,3.70683369335775,0,CS,1,1171.41206337574
1,95,1,S,1,9,1,6,3.70683369335775,0,ILD2.5,5,0.51510299187815
1,96,1,S,1,9,2,1,5.7475441939092,0,CS,1,1142.56767365827
1,96,1,S,1,9,2,1,5.7475441939092,0,ILD2.5,5,0.50600047295326
1,97,1,S,1,9,2,2,4.30639565817633,0,CS,1,1206.51822291344
1,97,1,S,1,9,2,2,4.30639565817633,0,ILD2.5,5,0.496266727086197
1,98,1,S,1,9,2,3,4.92757721241441,0,CS,1,1206.03316703977
1,98,1,S,1,9,2,3,4.92757721241441,0,ILD2.5,5,0.498058551630446
1,99,1,S,1,9,2,4,17.904571416364,0,CS,1,1192.3556516409
1,99,1,S,1,9,2,4,17.904571416364,0,ILD2.5,5,0.511136181239902
1,100,1,S,1,9,2,5,2.89564956057396,0,CS,1,1174.38418850997
1,100,1,S,1,9,2,5,2.89564956057396,0,ILD2.5,5,0.513587364880233
1,101,1,S,1,9,2,6,3.05958343831234,0,CS,1,1189.35183094733
1,101,1,S,1,9,2,6,3.05958343831234,0,ILD2.5,5,0.501104827201443
1,1146,1,S,1,10,1,1,2.38980707373922,0,CS,1,1186.39641117311
1,1146,1,S,1,10,1,1,2.38980707373922,0,ILD2.5,5,0.512786425360763
1,1147,1,S,1,10,1,2,6.89837815586192,0,CS,1,1179.50959677693
1,1147,1,S,1,10,1,2,6.89837815586192,0,ILD2.5,5,0.501249622221455
1,1148,1,S,1,10,1,3,4.67603401755101,0,CS,1,1186.59082154623
1,1148,1,S,1,10,1,3,4.67603401755101,0,ILD2.5,5,0.503071609199578
1,1149,1,S,1,10,1,4,5.61242658950673,0,CS,1,1172.5847991131
1,1149,1,S,1,10,1,4,5.61242658950673,0,ILD2.5,5,0.507665594259033
1,1150,1,S,1,10,1,5,17.3547003101791,0,CS,1,1167.1461871686
1,1150,1,S,1,10,1,5,17.3547003101791,0,ILD2.5,5,0.517978989088123
1,1151,1,S,1,10,1,6,5.9711172133412,0,CS,1,1173.45974697804
1,1151,1,S,1,10,1,6,5.9711172133412,0,ILD2.5,5,0.513022870756801
1,1152,1,S,1,10,2,1,3.63161412262589,0,CS,1,1168.04119029348
1,1152,1,S,1,10,2,1,3.63161412262589,0,ILD2.5,5,0.509134192125409
1,1153,1,S,1,10,2,2,1.90647919934143,0,CS,1,1185.1691862346
1,1153,1,S,1,10,2,2,1.90647919934143,0,ILD2.5,5,0.506464170044207
1,1154,1,S,1,10,2,4,3.4362922330429,0,CS,1,1189.03976197415
1,1154,1,S,1,10,2,4,3.4362922330429,0,ILD2.5,5,0.504487253335266
1,1155,1,S,1,10,2,5,3.30989791785389,0,CS,1,1167.15256548195
1,1155,1,S,1,10,2,5,3.30989791785389,0,ILD2.5,5,0.503538605818837
1,1156,1,S,1,10,2,6,6.5838156676411,0,CS,1,1148.96030295993
1,1156,1,S,1,10,2,6,6.5838156676411,0,ILD2.5,5,0.5085093854243
1,3380,1,S,1,11,1,1,1.38980271929464,0,CS,1,1202.9794493488
1,3380,1,S,1,11,1,1,1.38980271929464,0,ILD2.5,5,0.51327379242899
1,3381,1,S,1,11,1,2,1.21983025546796,0,CS,1,1213.30879096057
1,3381,1,S,1,11,1,2,1.21983025546796,0,ILD2.5,5,0.505009919350997
1,3382,1,S,1,11,1,3,4.2046646162476,0,CS,1,1176.68262500981
1,3382,1,S,1,11,1,3,4.2046646162476,0,ILD2.5,5,0.508867941824495
1,3383,1,S,1,11,1,4,3.85104343114905,0,CS,1,1187.04553876888
1,3383,1,S,1,11,1,4,3.85104343114905,0,ILD2.5,5,0.505956712034556
1,3384,1,S,1,11,1,5,3.51486210350032,0,CS,1,1219.60685833135
1,3384,1,S,1,11,1,5,3.51486210350032,0,ILD2.5,5,0.508799985244662
1,3385,1,S,1,11,1,6,1.60875004964043,0,CS,1,1208.49557531484
1,3385,1,S,1,11,1,6,1.60875004964043,0,ILD2.5,5,0.511322002473145
1,3386,1,S,1,11,2,1,1.4837779076456,0,CS,1,1219.68857591691
1,3386,1,S,1,11,2,1,1.4837779076456,0,ILD2.5,5,0.506558718686094
1,3387,1,S,1,11,2,2,4.41174067185273,0,CS,1,1230.09990560839
1,3387,1,S,1,11,2,2,4.41174067185273,0,ILD2.5,5,0.508026842813757
1,3388,1,S,1,11,2,3,3.09481237447139,0,CS,1,1234.17862924654
1,3388,1,S,1,11,2,3,3.09481237447139,0,ILD2.5,5,0.511329580772139
1,3389,1,S,1,11,2,4,6.02829495868674,0,CS,1,1222.88547660395
1,3389,1,S,1,11,2,4,6.02829495868674,0,ILD2.5,5,0.515009535995247
1,3390,1,S,1,11,2,5,2.80647518013983,0,CS,1,1219.80426480827
1,3390,1,S,1,11,2,5,2.80647518013983,0,ILD2.5,5,0.509228753804113
1,3391,1,S,1,11,2,6,2.39098763009934,0,CS,1,1231.58533786516
1,3391,1,S,1,11,2,6,2.39098763009934,0,ILD2.5,5,0.509613025035232
1,817,1,S,1,12,1,1,2.6806000640021,0,CS,1,1168.13051021231
1,817,1,S,1,12,1,1,2.6806000640021,0,ILD2.5,5,0.507003258808474
1,818,1,S,1,12,1,2,6.42008364633974,0,CS,1,1238.27092709507
1,818,1,S,1,12,1,2,6.42008364633974,0,ILD2.5,5,0.512280074860602
1,819,1,S,1,12,1,3,1.85681866509135,0,CS,1,1209.58707371106
1,819,1,S,1,12,1,3,1.85681866509135,0,ILD2.5,5,0.505573316988905
1,820,1,S,1,12,1,4,3.4864501055479,0,CS,1,1194.31086591575
1,820,1,S,1,12,1,4,3.4864501055479,0,ILD2.5,5,0.506571020639634
1,821,1,S,1,12,1,5,5.94289769786991,0,CS,1,1186.30537571252
1,821,1,S,1,12,1,5,5.94289769786991,0,ILD2.5,5,0.51613911794656
1,822,1,S,1,12,1,6,1.82972471977847,0,CS,1,1203.84956609112
1,822,1,S,1,12,1,6,1.82972471977847,0,ILD2.5,5,0.514618615817903
1,823,1,S,1,12,2,1,16.6467768707827,0,CS,1,1216.55460671155
1,823,1,S,1,12,2,1,16.6467768707827,0,ILD2.5,5,0.506193008701931
1,824,1,S,1,12,2,2,4.95641261059715,0,CS,1,1182.15302637931
1,824,1,S,1,12,2,2,4.95641261059715,0,ILD2.5,5,0.515771741716788
1,825,1,S,1,12,2,4,0.702498872473891,0,CS,1,1210.7443073489
1,825,1,S,1,12,2,4,0.702498872473891,0,ILD2.5,5,0.509349232696397
1,826,1,S,1,12,2,5,5.69751878310719,0,CS,1,1233.05600485586
1,826,1,S,1,12,2,5,5.69751878310719,0,ILD2.5,5,0.51477672371963
1,827,1,S,1,12,2,6,5.10390979868556,0,CS,1,1192.67635546651
1,827,1,S,1,12,2,6,5.10390979868556,0,ILD2.5,5,0.512217245260912
1,3658,1,S,1,13,1,1,5.45459785247071,0,CS,1,1224.63745201953
1,3658,1,S,1,13,1,1,5.45459785247071,0,ILD2.5,5,0.499591217833427
1,3659,1,S,1,13,1,2,4.57182695631887,0,CS,1,1230.19095175414
1,3659,1,S,1,13,1,2,4.57182695631887,0,ILD2.5,5,0.502624929408232
1,3660,1,S,1,13,1,3,4.54886659077874,0,CS,1,1222.39109944403
1,3660,1,S,1,13,1,3,4.54886659077874,0,ILD2.5,5,0.503634871349405
1,3661,1,S,1,13,1,4,1.86753118644355,0,CS,1,1212.96862650642
1,3661,1,S,1,13,1,4,1.86753118644355,0,ILD2.5,5,0.510273714813388
1,3662,1,S,1,13,1,5,3.75059659546706,0,CS,1,1212.53902571788
1,3662,1,S,1,13,1,5,3.75059659546706,0,ILD2.5,5,0.50852227172891
1,3663,1,S,1,13,1,6,6.86566386592147,0,CS,1,1230.93767330257
1,3663,1,S,1,13,1,6,6.86566386592147,0,ILD2.5,5,0.51016842362821
1,3664,1,S,1,13,2,1,5.84539310911319,0,CS,1,1193.89363010278
1,3664,1,S,1,13,2,1,5.84539310911319,0,ILD2.5,5,0.492667426716074
1,3665,1,S,1,13,2,2,2.46004849619592,0,CS,1,1224.65160578654
1,3665,1,S,1,13,2,2,2.46004849619592,0,ILD2.5,5,0.508388429095322
1,3666,1,S,1,13,2,3,5.48292623103524,0,CS,1,1204.47914054166
1,3666,1,S,1,13,2,3,5.48292623103524,0,ILD2.5,5,0.496239553564588
1,3667,1,S,1,13,2,4,3.72216835484298,0,CS,1,1203.66689744297
1,3667,1,S,1,13,2,4,3.72216835484298,0,ILD2.5,5,0.503773616807854
1,3668,1,S,1,13,2,5,2.5972767125544,0,CS,1,1217.23064554111
1,3668,1,S,1,13,2,5,2.5972767125544,0,ILD2.5,5,0.501952182073652
1,3669,1,S,1,13,2,6,3.43001864132309,0,CS,1,1202.22331074093
1,3669,1,S,1,13,2,6,3.43001864132309,0,ILD2.5,5,0.502281667738828
1,5158,1,S,1,14,1,1,14.1988704589218,0,CS,1,1203.57624510364
1,5158,1,S,1,14,1,1,14.1988704589218,0,ILD2.5,5,0.480919486968786
1,5159,1,S,1,14,1,2,3.80912552865289,0,CS,1,1206.26521867198
1,5159,1,S,1,14,1,2,3.80912552865289,0,ILD2.5,5,0.500526906665236
1,5160,1,S,1,14,1,3,7.29688530656855,0,CS,1,1233.75938586996
1,5160,1,S,1,14,1,3,7.29688530656855,0,ILD2.5,5,0.491491826529297
1,5161,1,S,1,14,1,4,6.51563640943178,0,CS,1,1250.35683795555
1,5161,1,S,1,14,1,4,6.51563640943178,0,ILD2.5,5,0.509427336495384
1,5162,1,S,1,14,1,5,3.38869884284481,0,CS,1,1208.66712630989
1,5162,1,S,1,14,1,5,3.38869884284481,0,ILD2.5,5,0.504946854083198
1,5163,1,S,1,14,1,6,3.728417208779,0,CS,1,1168.04841984872
1,5163,1,S,1,14,1,6,3.728417208779,0,ILD2.5,5,0.509130340965734
1,5164,1,S,1,14,2,1,8.14830463549768,0,CS,1,1212.03263615758
1,5164,1,S,1,14,2,1,8.14830463549768,0,ILD2.5,5,0.494670736708091
1,5165,1,S,1,14,2,2,0.251326273637042,0,CS,1,1207.06853344971
1,5165,1,S,1,14,2,2,0.251326273637042,0,ILD2.5,5,0.507775443420917
1,5166,1,S,1,14,2,3,1.51312237881518,0,CS,1,1210.05959449203
1,5166,1,S,1,14,2,3,1.51312237881518,0,ILD2.5,5,0.50386667157176
1,5167,1,S,1,14,2,4,7.20619411933961,0,CS,1,1206.08033636975
1,5167,1,S,1,14,2,4,7.20619411933961,0,ILD2.5,5,0.491624223873625
1,5168,1,S,1,14,2,5,1.78346308754858,0,CS,1,1180.3264143636
1,5168,1,S,1,14,2,5,1.78346308754858,0,ILD2.5,5,0.501387024001755
1,1680,1,S,1,15,1,1,5.94028757505499,0,CS,1,1151.92293337898
1,1680,1,S,1,15,1,1,5.94028757505499,0,ILD2.5,5,0.501258016871634
1,1681,1,S,1,15,1,2,2.5092903201155,0,CS,1,1199.13116695195
1,1681,1,S,1,15,1,2,2.5092903201155,0,ILD2.5,5,0.508636189782747
1,1682,1,S,1,15,1,3,5.81696892212113,0,CS,1,1181.64471065638
1,1682,1,S,1,15,1,3,5.81696892212113,0,ILD2.5,5,0.518668939264444
1,1683,1,S,1,15,1,5,5.7661619558357,0,CS,1,1182.88075852508
1,1683,1,S,1,15,1,5,5.7661619558357,0,ILD2.5,5,0.51374741660995
1,1684,1,S,1,15,1,6,7.04133163685158,0,CS,1,1177.696055865
1,1684,1,S,1,15,1,6,7.04133163685158,0,ILD2.5,5,0.503303881052932
1,1685,1,S,1,15,2,1,2.25290337066863,0,CS,1,1214.70590862333
1,1685,1,S,1,15,2,1,2.25290337066863,0,ILD2.5,5,0.514981770261746
1,1686,1,S,1,15,2,2,4.86092723284251,0,CS,1,1207.99733259455
1,1686,1,S,1,15,2,2,4.86092723284251,0,ILD2.5,5,0.516692992195591
1,1687,1,S,1,15,2,3,1.30600539840431,0,CS,1,1197.81031701833
1,1687,1,S,1,15,2,3,1.30600539840431,0,ILD2.5,5,0.506823103106236
1,1688,1,S,1,15,2,4,2.11236380087743,0,CS,1,1213.07607162764
1,1688,1,S,1,15,2,4,2.11236380087743,0,ILD2.5,5,0.503514625163226
1,1689,1,S,1,15,2,5,9.38824978039613,0,CS,1,1230.00397469999
1,1689,1,S,1,15,2,5,9.38824978039613,0,ILD2.5,5,0.497572409127002
1,1690,1,S,1,15,2,6,6.29233848318468,0,CS,1,1221.09550086069
1,1690,1,S,1,15,2,6,6.29233848318468,0,ILD2.5,5,0.516078595465917
1,1546,1,S,1,16,1,1,3.51713056013553,0,CS,1,1177.83181217768
1,1546,1,S,1,16,1,1,3.51713056013553,0,ILD2.5,5,0.514560435074808
1,1547,1,S,1,16,1,2,4.70232497582247,0,CS,1,1212.44637911217
